Card Name,Website Name,Source,Card Type,Compatibility,Count,Persuasion Cost,Specimen Cost,Acquisition Bonus,Passive Ability,Green Access,Purple Access,Yellow Access,Emperor Access,Spacing Guild Access,Bene Gesserit Access,Fremen Access,Spy Access,Tech,Shipping,Unload,Infiltration,Research,Grafting,Spies,Sandworms,Contracts,Battle Icons,Sardaukar,Agent Ability,Reveal Persuasion,Reveal Swords,Reveal Ability,Emperor Affiliation,Spacing Guild Affiliation,Bene Gesserit Affiliation,Fremen Affiliation,VPs Available,Count in Merakon's House Blend
"Arrakis Recruiter
",,Base,Imperium,All,2,2,4,,,,X,,,,,,,,,,,,,,,,,,+1 Troop,1,1,,,,,,,
Assassination Mission,,Base,Imperium,All,2,1,4,,,,,,,,,,,,,,,,,,,,,,"When trashed by another card or effect:
+4 Solari",,1,+1 Solari,,,,,,1
Bene Gesserit Initiate,,Base,Imperium,All,2,3,3,,,X,X,X,,,,,,,,,,,,,,,,,Draw 1 card,1,,,,,X,,,
Bene Gesserit Sister,,Base,Imperium,All,3,3,3,,,X,,,,,X,,,,,,,,,,,,,,,,,"+2 Persuation Or
+2 Swords",,,X,,,1
Carryall,,Base,Imperium,All,1,5,3,,,,,X,,,,,,,,,,,,,,,,,Double base spice harvest (not bonus),1,,+1 Spice,,,,,,
Chani,,Base,Imperium,All,1,5,3,+1 Water,,,X,X,,,,X,,,,,,,,,,,,,,2,,Retreat any number of Troops,,,,X,,
CHOAM Directorship,,Base,Imperium,All,1,8,3,+1 Influence with each Faction,,,,,,,,,,,,,,,,,,,,,,,,+3 Solari,,,,,,
Crysknife,,Base,Imperium,All,1,3,3,,,,,x,,,,X,,,,,,,,,,,,,+1 Solari,,1,Fremen Bond: +1 Influence with Fremen,,,,X,,1
Dr. Yueh,,Base,Imperium,All,1,1,2,,,,X,,,,,,,,,,,,,,,,,,Draw 1 card,1,,,,,,,,
Duncan Idaho,,Base,Imperium,All,1,4,2,,,,X,,,,,,,,,,,,,,,,,,Pay 1 water: +1 Troop and Draw 1 card,,2,+1 Water,,,,,,
Fedaykin Death Commando,,Base,Imperium,All,2,3,2,,,,X,X,,,,,,,,,,,,,,,,,Trash a card,1,,Fremen bond: +3 Swords,,,,X,,1
"Firm Grip
",Form Grip,Base,Imperium,All,1,4,2,,,X,,,X,,,,,,,,,,,,,,,,"Pay 2 Solari: +1 Influence with:
Spacing Guild OR Bene Gesserit OR Fremen",,,Having Emperor Alliance: +4 Persuation,X,,,,,
Fremen Camp,,Base,Imperium,All,2,4,2,,,,,X,,,,,,,,,,,,,,,,,Pay 2 Spice: +3 Troops,2,1,,,,,X,,1
"Gene Manipulation
",,Base,Imperium,All,2,3,2,,,X,X,,,,,,,,,,,,,,,,,,"Trash a card and with another
Bene Gesserit card in play: +2 Spice",2,,,,,X,,,
Guild Administrator,,Base,Imperium,All,2,2,1,,,,,x,,X,,,,,,,,,,,,,,,Trash 1 card,1,,,,X,,,,1
Guild Ambassador,,Base,Imperium,All,1,4,1,,,X,,,,,,,,,,,,,,,,,,,+1 Spacing Guild Influence or +2 Spice,,,"Having Spacing Guild Alliance:
Pay 3 Spice for +1 Victory Point",,X,,,9,
Guild Bankers,,Base,Imperium,All,1,3,1,,,X,,,X,X,,,,,,,,,,,,,,,,,,"The Spice Must Flow costs
3 less this turn",,X,,,,1
Gun Thopter,,Base,Imperium,All,2,4,1,,,,X,X,,,,,,,,,,,,,,,,,Each opponent loses 1 Garrisoned Troop,,3,"You may deploy a troop from
your Garrison to the Conflict",,,,,,1
Gurney Halleck,,Base,Imperium,All,1,6,1,,,,X,,,,,,,,,,,,,,,,,,+2 Troops and Draw 1 card,2,,"Pay 3 solari:
+2 Troops to Garrison or Conflict",,,,,,
"Imperial Spy
",,Base,Imperium,All,2,2,,,,,,,X,,,,,,,,,,,,,,,,"Trash this card: 
Draw 1 Intrigue card",1,1,,X,,,,,1
Kwisatz Haderach,,Base,Imperium,All,1,8,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,"Send one of your agents from anywhere
to any board space and Draw 1 card",,,,,,X,,,
Lady Jessica,,Base,Imperium,All,1,7,,+1 Influence,,X,X,X,,,X,,,,,,,,,,,,,,Draw 2 cards,3,1,,,,X,,,
Liet Kynes,,Base,Imperium,All,1,5,,+1 Influence with Emperor,,,X,,,,,X,,,,,,,,,,,,,,,,"+2 Persuation for each Fremen card in play, including this one",X,,,X,,
Missionaria Protectiva,,Base,Imperium,All,2,1,,,,,X,,,,,,,,,,,,,,,,,,"With another Bene Gesserit card in play:
+1 Influence",1,,,,,X,,,1
"Opulence
",,Base,Imperium,All,1,6,,,,,,,X,,,,,,,,,,,,,,,,+3 Solari,1,,Pay 6 Solari -> +1 Victory Point,X,,,,9,
Other Memory,,Base,Imperium,All,1,4,,,,,X,X,,,,,,,,,,,,,,,,,"Draw 1 card or Draw 1 Bene Gesserit card
from your discard pile",2,,,,,X,,,1
Piter De Vries,,Base,Imperium,All,1,5,,,,X,X,,,,,,,,,,,,,,,,,,Draw 1 Intrigue card,3,1,,,,,,,
